trial,Metric,Iters,Best_Iter,minibatch_size,lr,gamma,lambda_,clip_param,grad_clip,kl_target,kl_coeff,use_kl_loss,vf_clip_param,vf_loss_coeff,vf_share_layers
11168511,0.2713864306784661,14,14,4096,0.0002451347124838214,0.9879106871428898,0.979840962277444,0.15202376223483266,100.0,0.011194820067071879,0.28425300655652747,False,inf,0.8005725192085023,-1
da68a740,0.2625368731563421,14,14,512,0.0005216055056864282,0.9625016970530539,0.9920161649643464,0.227191150776498,100.0,0.012297110535347487,0.19138914569528126,False,inf,0.08812377977298132,-1
89c7d31d,0.2610619469026549,14,14,2048,0.00011145681471665301,0.9809241248767557,0.972527925534711,0.12855919983053402,200.0,0.026580816666350933,0.20261231526430123,False,40.0,0.719956043137784,-1
062e5fbd,0.2507462686567164,14,14,2048,0.0007362501321116885,0.9790695227132951,0.9745293744088082,0.19108007009097644,200.0,0.017263677092978616,0.18515334943075754,True,40.0,0.2758957491812074,-1
68ef24b6,0.1716867469879518,14,14,2048,0.0009135346758398973,0.9583589866436656,0.9790405517127024,0.14242408268033263,,0.02482395381201081,0.3793090978347433,True,10.0,0.3587772984071551,-1
545daa9f,0.1528384279475982,14,14,1024,0.00046071823392368656,0.9545010092118512,0.9753853319825537,0.16131049230773617,40.0,0.02165378464934796,0.17194937818434192,False,10.0,0.4586829353789012,-1
54c2999a,0.088455772113943,14,14,512,0.00031686908598104016,0.9667491445045867,0.9884343448986285,0.27273206153221996,200.0,0.01411349368040277,0.2948585419511756,True,inf,0.7062169339405423,-1
c0fcac17,0.0871794871794871,8,8,512,0.00012012713971605516,0.9850854838282482,0.980277469507211,0.28021914779716617,100.0,0.015124445555062633,0.3203802731681936,False,10.0,0.4402871409776268,-1
056bad89,-0.0151057401812688,7,7,2048,0.00019612648457418286,0.9788349344726108,0.9843098942400755,0.10092460400350321,,0.027781316223242803,0.27290440341478345,False,40.0,0.4900624974312679,-1
ea3a2c50,-0.0278637770897833,7,7,512,3.1529928881879064e-05,0.9531084361691006,0.9787118627300008,0.29830783214783685,100.0,0.011215174354651275,0.29765454247023015,False,40.0,0.7069382677681186,-1
aad6487d,-0.0507462686567164,7,7,1024,9.859493096278623e-05,0.9862336926381258,0.9773236411899193,0.14066176670992092,40.0,0.020510283921688344,0.22186113950764852,False,10.0,0.9096827044605831,-1
7f721228,-0.0567164179104477,7,7,4096,0.0002748950211044967,0.9759111705845672,0.9827595628240892,0.22418061823259708,100.0,0.01466821805488683,0.15349049404112147,False,40.0,0.5535941681982433,-1
b7ede7c2,-0.060790273556231,7,7,4096,4.115944070096814e-05,0.9639844664861925,0.9717442066971409,0.1994253422644,100.0,0.013176057319453352,0.3021947854240292,False,40.0,0.7912374647652228,-1
a99206b1,-0.0611510791366906,7,6,4096,3.1242521235893806e-05,0.9729613102004631,0.9700049033385956,0.28310411855162365,100.0,0.0178686479263129,0.3114169344760435,False,40.0,0.8334530604552067,-1
b0b7a657,-0.0648967551622418,7,7,4096,7.517967142479476e-05,0.9745647969009212,0.9737159436360276,0.26341643436361484,40.0,0.010397561911099038,0.2335670958490513,False,40.0,0.7839541772506451,-1
